Account,Region,date_header,2010-09-08
 Central bank liquidity swaps, Minneapolis,2010-09-15,2
 Central bank liquidity swaps, Kansas City,2010-09-15,0
 Central bank liquidity swaps, Dallas,2010-09-15,1
 Central bank liquidity swaps, San Francisco,2010-09-15,4
 Other assets,,2010-09-15,90855
 Other assets, Boston,2010-09-15,2595
 Other assets, New York,2010-09-15,34371
 Other assets, Philadelphia,2010-09-15,4277
 Other assets, Cleveland,2010-09-15,4084
 Other assets, Richmond,2010-09-15,14450
 Other assets, Atlanta,2010-09-15,7699
 Other assets, Chicago,2010-09-15,5493
 Other assets, St. Louis,2010-09-15,1929
 Other assets, Minneapolis,2010-09-15,1615
 Other assets, Kansas City,2010-09-15,2448
 Other assets, Dallas,2010-09-15,3101
 Other assets, San Francisco,2010-09-15,8794
 Interdistrict settlement account,,2010-09-15,0
 Interdistrict settlement account, Boston,2010-09-15,3922
 Interdistrict settlement account, New York,2010-09-15,86424
 Interdistrict settlement account, Philadelphia,2010-09-15,26964
 Interdistrict settlement account, Cleveland,2010-09-15,-13956
 Interdistrict settlement account, Richmond,2010-09-15,8591
 Interdistrict settlement account, Atlanta,2010-09-15,-41570
 Interdistrict settlement account, Chicago,2010-09-15,-37183
 Interdistrict settlement account, St. Louis,2010-09-15,-12763
 Interdistrict settlement account, Minneapolis,2010-09-15,11248
 Interdistrict settlement account, Kansas City,2010-09-15,-18436
 Interdistrict settlement account, Dallas,2010-09-15,-2301
 Interdistrict settlement account, San Francisco,2010-09-15,-10941
 Total assets,,2010-09-15,2299441
 Total assets, Boston,2010-09-15,58950
 Total assets, New York,2010-09-15,1106072
 Total assets, Philadelphia,2010-09-15,79796
 Total assets, Cleveland,2010-09-15,60601
 Total assets, Richmond,2010-09-15,257364
 Total assets, Atlanta,2010-09-15,161825
 Total assets, Chicago,2010-09-15,124100
 Total assets, St. Louis,2010-09-15,42436
 Total assets, Minneapolis,2010-09-15,41312
 Total assets, Kansas City,2010-09-15,54955
 Total assets, Dallas,2010-09-15,87963
 Total assets, San Francisco,2010-09-15,224066
 Federal Reserve notes outstanding,,2010-09-15,1136279
 Federal Reserve notes outstanding, Boston,2010-09-15,41139
 Federal Reserve notes outstanding, New York,2010-09-15,388028
 Federal Reserve notes outstanding, Philadelphia,2010-09-15,46242
 Federal Reserve notes outstanding, Cleveland,2010-09-15,46537
 Federal Reserve notes outstanding, Richmond,2010-09-15,90496
 Federal Reserve notes outstanding, Atlanta,2010-09-15,143827
 Federal Reserve notes outstanding, Chicago,2010-09-15,88494
 Federal Reserve notes outstanding, St. Louis,2010-09-15,33331
 Federal Reserve notes outstanding, Minneapolis,2010-09-15,20440
 Federal Reserve notes outstanding, Kansas City,2010-09-15,34198
 Federal Reserve notes outstanding, Dallas,2010-09-15,77155
 Federal Reserve notes outstanding, San Francisco,2010-09-15,126393
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding),,2010-09-15,225022
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Boston,2010-09-15,4166
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), New York,2010-09-15,94405
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Philadelphia,2010-09-15,5290
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Cleveland,2010-09-15,9299
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Richmond,2010-09-15,14562
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Atlanta,2010-09-15,30327
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Chicago,2010-09-15,13241
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), St. Louis,2010-09-15,4551
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Minneapolis,2010-09-15,6032
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Kansas City,2010-09-15,3354
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), Dallas,2010-09-15,12600
 Notes held by F.R. Banks (netted from Federal Reserve notes outstanding), San Francisco,2010-09-15,27193
" Federal Reserve notes, net of F.R. Bank holdings",,2010-09-15,911257
" Federal Reserve notes, net", Boston,2010-09-15,36973
" Federal Reserve notes, net", New York,2010-09-15,293623
" Federal Reserve notes, net", Philadelphia,2010-09-15,40952
" Federal Reserve notes, net", Cleveland,2010-09-15,37238
" Federal Reserve notes, net", Richmond,2010-09-15,75934
" Federal Reserve notes, net", Atlanta,2010-09-15,113500
" Federal Reserve notes, net", Chicago,2010-09-15,75253
" Federal Reserve notes, net", St. Louis,2010-09-15,28780
" Federal Reserve notes, net", Minneapolis,2010-09-15,14408
" Federal Reserve notes, net", Kansas City,2010-09-15,30844
" Federal Reserve notes, net", Dallas,2010-09-15,64554
" Federal Reserve notes, net", San Francisco,2010-09-15,99200
 Reverse repurchase agreements,,2010-09-15,59924
 Reverse repurchase agreements, Boston,2010-09-15,0
 Reverse repurchase agreements, New York,2010-09-15,0
 Reverse repurchase agreements, Philadelphia,2010-09-15,0
 Reverse repurchase agreements, Cleveland,2010-09-15,0
 Reverse repurchase agreements, Richmond,2010-09-15,0
 Reverse repurchase agreements, Atlanta,2010-09-15,0
 Reverse repurchase agreements, Chicago,2010-09-15,0
 Reverse repurchase agreements, St. Louis,2010-09-15,0
 Reverse repurchase agreements, Minneapolis,2010-09-15,0
 Reverse repurchase agreements, Kansas City,2010-09-15,0
 Reverse repurchase agreements, Dallas,2010-09-15,0
 Reverse repurchase agreements, San Francisco,2010-09-15,0
 Deposits,,2010-09-15,1252327
 Deposits, Boston,2010-09-15,18261
 Deposits, New York,2010-09-15,759957
 Deposits, Philadelphia,2010-09-15,31300
 Deposits, Cleveland,2010-09-15,16630
 Deposits, Richmond,2010-09-15,160937
 Deposits, Atlanta,2010-09-15,38579
 Deposits, Chicago,2010-09-15,41780
 Deposits, St. Louis,2010-09-15,11360
 Deposits, Minneapolis,2010-09-15,23980
 Deposits, Kansas City,2010-09-15,21213
 Deposits, Dallas,2010-09-15,19602
 Deposits, San Francisco,2010-09-15,108727
" Deposits with F.R. Banks, other than reserve balances", Wednesday level,2010-09-15,2119
 Deposits, District 1,2010-09-15,27
 Deposits, District 2,2010-09-15,886
 Deposits, District 3,2010-09-15,0
 Deposits, District 4,2010-09-15,15
 Deposits, District 5,2010-09-15,96
 Deposits, District 6,2010-09-15,161
 Deposits, District 7,2010-09-15,506
 Deposits, District 8,2010-09-15,0
 Deposits, District 9,2010-09-15,6
 Deposits, District 10,2010-09-15,34
 Deposits, District 11,2010-09-15,62
 Deposits, District 12,2010-09-15,327
 Deposits, Wednesday level,2010-09-15,934600
 Deposits, District 1,2010-09-15,18226
 Deposits, District 2,2010-09-15,442453
 Deposits, District 3,2010-09-15,31296
 Deposits, District 4,2010-09-15,16625
 Deposits, District 5,2010-09-15,160856
 Deposits, District 6,2010-09-15,38577
 Deposits, District 7,2010-09-15,41708
 Deposits, District 8,2010-09-15,11352
 Deposits, District 9,2010-09-15,23978
 Deposits, District 10,2010-09-15,21211
 Deposits, District 11,2010-09-15,19601
 Deposits, District 12,2010-09-15,108716
" Deposits with F.R. Banks, other than reserve balances", Wednesday level,2010-09-15,114568
 Deposits, District 1,2010-09-15,0
 Deposits, District 2,2010-09-15,114568
 Deposits, District 3,2010-09-15,0
 Deposits, District 4,2010-09-15,0
 Deposits, District 5,2010-09-15,0
 Deposits, District 6,2010-09-15,0
 Deposits, District 7,2010-09-15,0
 Deposits, District 8,2010-09-15,0
 Deposits, District 9,2010-09-15,0
 Deposits, District 10,2010-09-15,0
 Deposits, District 11,2010-09-15,0
 Deposits, District 12,2010-09-15,0
" Deposits with F.R. Banks, other than reserve balances", Wednesday level,2010-09-15,199960
 Deposits, District 1,2010-09-15,0
 Deposits, District 2,2010-09-15,199960
 Deposits, District 3,2010-09-15,0
 Deposits, District 4,2010-09-15,0
 Deposits, District 5,2010-09-15,0
 Deposits, District 6,2010-09-15,0
 Deposits, District 7,2010-09-15,0
 Deposits, District 8,2010-09-15,0
 Deposits, District 9,2010-09-15,0
 Deposits, District 10,2010-09-15,0
 Deposits, District 11,2010-09-15,0
 Deposits, District 12,2010-09-15,0
" Deposits with F.R. Banks, other than reserve balances", Wednesday level,2010-09-15,2792
 Deposits, District 1,2010-09-15,1
 Deposits, District 2,2010-09-15,2764
 Deposits, District 3,2010-09-15,4
 Deposits, District 4,2010-09-15,3
 Deposits, District 5,2010-09-15,11
 Deposits, District 6,2010-09-15,2
 Deposits, District 7,2010-09-15,1
 Deposits, District 8,2010-09-15,0
 Deposits, District 9,2010-09-15,1
 Deposits, District 10,2010-09-15,0
 Deposits, District 11,2010-09-15,1
 Deposits, District 12,2010-09-15,3
" Deposits with F.R. Banks, other than reserve balances", Wednesday level,2010-09-15,407
 Deposits, District 1,2010-09-15,34
 Deposits, District 2,2010-09-15,213
 Deposits, District 3,2010-09-15,0
 Deposits, District 4,2010-09-15,1
 Deposits, District 5,2010-09-15,70
 Deposits, District 6,2010-09-15,0
 Deposits, District 7,2010-09-15,71
 Deposits, District 8,2010-09-15,8
 Deposits, District 9,2010-09-15,0
 Deposits, District 10,2010-09-15,1
 Deposits, District 11,2010-09-15,0
 Deposits, District 12,2010-09-15,8
 Deferred availability cash items,,2010-09-15,2361
 Deferred availability cash items, Boston,2010-09-15,82
 Deferred availability cash items, New York,2010-09-15,0
 Deferred availability cash items, Philadelphia,2010-09-15,227
 Deferred availability cash items, Cleveland,2010-09-15,535
 Deferred availability cash items, Richmond,2010-09-15,104
 Deferred availability cash items, Atlanta,2010-09-15,142
 Deferred availability cash items, Chicago,2010-09-15,184
 Deferred availability cash items, St. Louis,2010-09-15,75
 Deferred availability cash items, Minneapolis,2010-09-15,330
 Deferred availability cash items, Kansas City,2010-09-15,154
 Deferred availability cash items, Dallas,2010-09-15,110
 Deferred availability cash items, San Francisco,2010-09-15,417
 Other liabilities and accrued dividends,,2010-09-15,14929
 Other liabilities and accrued dividends, Boston,2010-09-15,195
 Other liabilities and accrued dividends, New York,2010-09-15,11231
 Other liabilities and accrued dividends, Philadelphia,2010-09-15,225
 Other liabilities and accrued dividends, Cleveland,2010-09-15,254
 Other liabilities and accrued dividends, Richmond,2010-09-15,735
 Other liabilities and accrued dividends, Atlanta,2010-09-15,516
 Other liabilities and accrued dividends, Chicago,2010-09-15,426
 Other liabilities and accrued dividends, St. Louis,2010-09-15,188
 Other liabilities and accrued dividends, Minneapolis,2010-09-15,140
 Other liabilities and accrued dividends, Kansas City,2010-09-15,193
 Other liabilities and accrued dividends, Dallas,2010-09-15,270
 Other liabilities and accrued dividends, San Francisco,2010-09-15,557
 Total liabilities,,2010-09-15,2242917
 Total liabilities, Boston,2010-09-15,57055
 Total liabilities, New York,2010-09-15,1090150
 Total liabilities, Philadelphia,2010-09-15,74104
 Total liabilities, Cleveland,2010-09-15,56707
 Total liabilities, Richmond,2010-09-15,244631
 Total liabilities, Atlanta,2010-09-15,158568
 Total liabilities, Chicago,2010-09-15,122667
 Total liabilities, St. Louis,2010-09-15,41946
 Total liabilities, Minneapolis,2010-09-15,39684
 Total liabilities, Kansas City,2010-09-15,54493
 Total liabilities, Dallas,2010-09-15,87115
 Total liabilities, San Francisco,2010-09-15,215799
 Capital paid in,,2010-09-15,26673
 Capital paid in, Boston,2010-09-15,916
 Capital paid in, New York,2010-09-15,7653
 Capital paid in, Philadelphia,2010-09-15,2829
 Capital paid in, Cleveland,2010-09-15,1924
 Capital paid in, Richmond,2010-09-15,5435
 Capital paid in, Atlanta,2010-09-15,1551
 Capital paid in, Chicago,2010-09-15,668
 Capital paid in, St. Louis,2010-09-15,217
 Capital paid in, Minneapolis,2010-09-15,807
 Capital paid in, Kansas City,2010-09-15,211
 Capital paid in, Dallas,2010-09-15,399
 Capital paid in, San Francisco,2010-09-15,4063
 Surplus,,2010-09-15,25863
 Surplus, Boston,2010-09-15,946
 Surplus, New York,2010-09-15,7659
 Surplus, Philadelphia,2010-09-15,2804
 Surplus, Cleveland,2010-09-15,1911
 Surplus, Richmond,2010-09-15,7141
 Surplus, Atlanta,2010-09-15,1581
 Surplus, Chicago,2010-09-15,621
